City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,alice springs,-23.7,133.8833,21.75,30,100,5.66,AU,1715496576
259,chabeuil,44.8996,5.0188,18.43,70,0,2.06,FR,1715496576
260,rikaze,29.25,88.8833,18.06,16,46,1.25,CN,1715496578
261,santa barbara,34.7333,-120.0343,9.05,100,0,0.0,US,1715496357
262,sanchazi,42.0817,126.6003,12.08,47,100,6.01,CN,1715496579
263,walvis bay,-22.9575,14.5053,13.38,87,0,1.54,NA,1715496579
264,luumaki,60.9262,27.5814,9.06,47,26,1.62,FI,1715496580
265,luderitz,-26.6481,15.1594,16.4,55,0,5.5,NA,1715496580
266,andergrove,-21.0833,149.1833,25.83,78,1,4.92,AU,1715496581
267,burayevo,55.8407,55.4083,4.56,84,100,4.69,RU,1715496581
268,murzuq,25.9155,13.9184,23.63,27,0,6.66,LY,1715496582
269,kapuskasing,49.4169,-82.4331,4.05,87,0,0.51,CA,1715496582
270,sucua,-2.4667,-78.1667,19.25,96,100,1.87,EC,1715496583
271,geraldton,-28.7667,114.6,33.23,13,100,8.75,AU,1715496550
272,mejit,10.2753,170.8646,27.6,83,100,7.54,MH,1715496585
273,saint-pierre,-21.3393,55.4781,27.82,65,0,9.77,RE,1715496586
274,benoy,8.9833,16.3199,31.03,24,93,1.94,TD,1715496586
275,vetluga,57.8557,45.781,1.93,65,100,4.07,RU,1715496587
276,san jose de feliciano,-30.3845,-58.7517,13.78,94,100,4.71,AR,1715496587
277,winnemucca,40.973,-117.7357,10.03,53,0,4.63,US,1715496588
278,pandan,14.0453,124.1694,31.15,68,85,2.97,PH,1715496588
279,dalian,38.9122,121.6022,21.96,30,0,5.0,CN,1715496325
280,belmonte,-15.8631,-38.8828,23.87,85,17,0.84,BR,1715496589
281,sejenane,37.0572,9.2381,16.53,53,0,2.19,TN,1715496590
282,morehead city,34.7229,-76.726,18.9,78,75,4.12,US,1715496590
283,usinsk,65.9939,57.5281,-1.07,87,100,4.47,RU,1715496591
284,miguel alves,-4.1656,-42.8953,23.18,90,100,0.27,BR,1715496591
285,mundri,-6.9558,111.71,30.84,66,75,3.27,ID,1715496592
286,sandwich,41.6459,-88.6217,12.1,91,0,0.0,US,1715496592
287,bubaque,11.2833,-15.8333,26.32,75,14,6.91,GW,1715496593
288,grunwald,48.0395,11.5232,16.51,67,11,1.34,DE,1715496593
289,mutsu,41.2894,141.2169,18.8,63,100,2.19,JP,1715496594
290,antofagasta,-23.65,-70.4,14.6,83,100,2.98,CL,1715496186
291,praia da vitoria,38.7333,-27.0667,16.53,94,20,2.59,PT,1715496595
292,brookings,44.3114,-96.7984,15.66,55,0,4.63,US,1715496596
293,galveston,29.3669,-94.9669,25.1,83,0,6.69,US,1715496596
294,longquan,24.6719,102.1613,26.35,39,100,3.26,CN,1715496597
295,whitehorse,60.7161,-135.0538,6.43,42,75,6.69,CA,1715496597
296,tabuk,17.4189,121.4443,37.02,35,61,2.18,PH,1715496598
297,shizunai-furukawacho,42.3339,142.3669,12.94,86,100,6.35,JP,1715496512
298,neiafu,-18.65,-173.9833,25.38,61,75,4.12,TO,1715496602
299,ponto novo,-10.8628,-40.1336,22.01,98,100,2.91,BR,1715496606
300,karratha,-20.7377,116.8463,28.83,40,49,7.15,AU,1715496606
301,fuente del maestre,38.5266,-6.4478,17.14,67,82,2.04,ES,1715496607
302,junin,-34.5838,-60.9433,6.68,89,29,4.52,AR,1715496607
303,nemuro,43.3236,145.575,8.77,94,100,10.12,JP,1715496340
304,minas de marcona,-15.2119,-75.1103,13.67,91,88,5.91,PE,1715496608
305,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,75,20,5.0,RU,1715496492
306,saint-philippe,-21.3585,55.7679,27.77,79,48,5.18,RE,1715496609
307,saipan,15.1355,145.701,32.39,58,40,6.69,MP,1715496379
308,korla,41.7597,86.1469,33.58,5,63,9.05,CN,1715496610
309,devrek,41.2192,31.9558,15.86,67,95,0.89,TR,1715496611
310,hood river,45.7054,-121.5215,21.63,63,0,2.24,US,1715496611
311,san rafael,-34.6177,-68.3301,5.12,64,71,3.13,AR,1715496612
312,touros,-5.1989,-35.4608,25.04,92,33,3.53,BR,1715496612
313,vadippatti,10.0833,77.95,35.64,48,50,1.62,IN,1715496613
314,christchurch,-43.5333,172.6333,9.19,71,0,2.06,NZ,1715496092
315,ust-nera,64.5667,143.2,1.65,46,100,3.14,RU,1715496614
316,pogar,52.554,33.2591,6.6,61,93,4.77,RU,1715496615
317,nar'yan-mar,67.6713,53.087,-3.83,94,100,5.36,RU,1715496615
318,gadzhiyevo,69.2551,33.3362,-0.03,93,21,2.63,RU,1715496616
319,barbate,36.1924,-5.9219,17.26,68,100,2.25,ES,1715496616
320,lincoln city,44.9582,-124.0179,13.36,95,57,2.68,US,1715496617
321,lata,40.1629,-8.3327,14.49,85,100,1.21,PT,1715496617
322,buenaventura,3.8801,-77.0312,24.56,94,100,0.51,CO,1715496618
323,ajdabiya,30.7554,20.2263,21.06,60,60,4.52,LY,1715496618
324,cole harbour,44.6724,-63.4751,5.71,85,81,6.17,CA,1715496619
325,isla mujeres,21.2311,-86.731,27.87,86,22,5.76,MX,1715496620
326,pailon,-17.65,-62.75,19.5,82,100,0.7,BO,1715496620
327,teguise,29.0605,-13.564,17.12,72,40,8.75,ES,1715496621
328,guozhen,34.3659,107.359,32.04,16,3,3.0,CN,1715496621
329,colon,9.3592,-79.9014,26.47,87,92,1.42,PA,1715496622
330,abu al matamir,30.9102,30.1744,21.27,47,7,5.25,EG,1715496622
331,lyubashivka,47.8372,30.2598,11.1,45,100,5.36,UA,1715496623
332,banda aceh,5.5577,95.3222,29.44,74,98,1.81,ID,1715496102
333,nantucket,41.2835,-70.0995,7.3,86,100,0.0,US,1715496624
334,ostersund,63.1792,14.6357,10.25,87,75,3.09,SE,1715496625
335,floro,61.5996,5.0328,13.04,82,100,2.57,NO,1715496625
336,selfoss,63.9331,-20.9971,7.8,83,100,3.63,IS,1715496626
337,besisahar,28.2313,84.3761,28.36,59,54,2.42,NP,1715496626
338,sao joao da barra,-21.6403,-41.0511,23.18,89,8,2.85,BR,1715496627
339,usogorsk,63.4106,48.6872,-0.19,86,100,3.58,RU,1715496628
340,megion,61.0296,76.1136,15.01,42,100,7.92,RU,1715496628
341,bamboo flat,11.7,92.7167,32.05,70,40,3.09,IN,1715496629
342,bechar,31.6167,-2.2167,25.18,23,0,3.6,DZ,1715496630
343,thai binh,20.45,106.3333,30.99,67,88,5.01,VN,1715496630
344,ca mau,9.1769,105.15,35.17,46,53,4.81,VN,1715496416
345,huilong,31.8111,121.655,18.83,59,100,6.42,CN,1715496632
346,niafunke,15.9322,-3.9906,31.9,10,31,3.71,ML,1715496632
347,tsiombe,-25.3,45.4833,28.45,44,0,1.22,MG,1715496633
348,ambalavao,-21.8333,46.9333,20.86,61,98,2.1,MG,1715496633
349,east end,34.5507,-92.341,21.49,86,100,1.62,US,1715496634
350,adler,43.43,39.92,16.09,88,100,5.0,RU,1715496430
351,kyren,51.6828,102.1408,27.19,24,94,1.34,RU,1715496635
352,johi,26.6921,67.6133,40.24,17,0,1.79,PK,1715496636
353,barsi,18.2333,75.7,32.75,38,84,2.1,IN,1715496576
354,mount gambier,-37.8333,140.7667,16.12,65,100,2.49,AU,1715496575
355,katsuura,35.1333,140.3,21.29,71,100,9.29,JP,1715496387
356,maebaru-chuo,33.55,130.2,20.4,98,100,1.97,JP,1715496640
357,uttar char fasson,22.2332,90.7132,30.78,65,93,4.49,BD,1715496640
358,thunder bay,48.4001,-89.3168,11.99,43,75,2.57,CA,1715496500
359,oyama,36.3,139.8,24.21,52,100,7.19,JP,1715496407
360,jumla,29.2747,82.1838,18.45,60,100,3.22,NP,1715496642
361,san pedro pochutla,15.7333,-96.4667,25.74,50,100,1.04,MX,1715496524
362,jimenez,28.3333,-105.4,24.15,12,100,3.67,MX,1715496643
363,lagos,6.5833,3.75,24.18,92,100,2.08,NG,1715496537
